Kecamatan,Tanggal,Curah Hujan,Debit Air,Muka Air,Tinggi Banjir,Banjir Ya/Tidak
Dayeuhkolot,2020-03-02,0.0,81.72,5.44,-,0
Cisondari-Pasir Jambu,2020-03-03,-,"15,81","0,66",-,0
Dayeuhkolot,2020-03-03,-,73.35,5.19,-,0
Dayeuhkolot,2020-03-04,-,78.73,5.39,-,0
Cisondari-Pasir Jambu,2020-03-05,"80,5","12,21","0,49",-,0
Dayeuhkolot,2020-03-05,17.5,80.03,5.43,-,0
Cisondari-Pasir Jambu,2020-03-06,"1,5","10,41","0,57",-,0
Dayeuhkolot,2020-03-06,0.0,72.34,5.2,-,0
Cisondari-Pasir Jambu,2020-03-07,"9,5","12,59","0,59",-,0
Dayeuhkolot,2020-03-07,9.0,73.69,5.26,-,0
Cisondari-Pasir Jambu,2020-03-08,-,"15,01","0,33",-,0
Dayeuhkolot,2020-03-08,-,66.25,5.01,-,0
Cisondari-Pasir Jambu,2020-03-09,2,"12,02","0,35",-,0
Dayeuhkolot,2020-03-09,0.0,61.08,4.82,-,0
Cisondari-Pasir Jambu,2020-03-10,-,"10,29","0,52",-,0
Dayeuhkolot,2020-03-10,-,57.37,4.69,-,0
Cisondari-Pasir Jambu,2020-03-11,0,"9,43","0,66",-,0
Dayeuhkolot,2020-03-11,-,54.65,4.59,-,0
Cisondari-Pasir Jambu,2020-03-12,"2,5","11,32","0,78",-,0
Dayeuhkolot,2020-03-12,-,52.24,4.5,-,0
Cisondari-Pasir Jambu,2020-03-13,"10,5","13,5","0,4",-,0
Dayeuhkolot,2020-03-13,0.0,52.94,4.55,-,0
Cisondari-Pasir Jambu,2020-03-14,-,"11,09","0,44",-,0
Dayeuhkolot,2020-03-14,-,55.61,4.67,-,0
Cisondari-Pasir Jambu,2020-03-15,17,"10,69","0,73",-,0
Dayeuhkolot,2020-03-15,26.0,68.63,5.19,-,0
Dayeuhkolot,2020-03-16,8.0,89.66,5.91,0.4,1
Dayeuhkolot,2020-03-17,27.0,69.52,5.22,-,0
Dayeuhkolot,2020-03-18,-,56.54,4.77,-,0
Dayeuhkolot,2020-03-19,18.0,60.78,4.95,0.4,1
Dayeuhkolot,2020-03-20,85.0,76.77,5.54,-,0
Dayeuhkolot,2020-03-21,-,130.28,7.06,-,0
Dayeuhkolot,2020-03-22,0.0,72.77,5.41,-,0
Dayeuhkolot,2020-03-23,-,60.35,4.99,-,0
Dayeuhkolot,2020-03-24,4.0,57.33,4.88,-,0
Dayeuhkolot,2020-03-25,1.0,55.76,4.84,-,0
Dayeuhkolot,2020-03-26,-,60.01,5.02,-,0
Dayeuhkolot,2020-03-27,8.0,82.22,5.81,-,0
Dayeuhkolot,2020-03-28,4.5,73.2,5.5,-,0
Dayeuhkolot,2020-03-29,4.5,65.85,5.29,-,0
Banjaran,2020-03-30,23.0,95.8,6.29,0.1,1
Dayeuhkolot,2020-03-30,23.0,95.8,6.29,0.1,1
Bojongsoang,2020-03-31,14,537.25,4.67,-,0
Dayeuhkolot,2020-03-31,-,148.54,7.64,-,0
Bojongsoang,2020-04-01,-,617.1,4.94,0.5,1
Dayeuhkolot,2020-04-01,-,149.24,7.64,0.5,1
Bojongsoang,2020-04-02,-,567.35,4.76,-,0
Dayeuhkolot,2020-04-02,-,121.48,6.99,-,0
Bojongsoang,2020-04-03,0,468.81,4.4,-,0
Dayeuhkolot,2020-04-03,-,101.34,6.48,-,0
Bojongsoang,2020-04-04,67,400.69,4.14,-,0
Dayeuhkolot,2020-04-04,-,90.9,6.2,-,0
Bojongsoang,2020-04-05,57.5,527.44,4.63,-,0
Dayeuhkolot,2020-04-05,-,134.03,7.38,-,0
Bojongsoang,2020-04-06,2,365.43,4,-,0
Dayeuhkolot,2020-04-06,-,124.54,7.13,-,0
Bojongsoang,2020-04-07,57,310.62,3.76,-,0
Dayeuhkolot,2020-04-07,0.0,111.01,6.81,-,0
Bojongsoang,2020-04-08,-,338.54,3.88,-,0
Dayeuhkolot,2020-04-08,-,113.41,6.89,-,0
Bojongsoang,2020-04-09,-,282.13,3.62,-,0
Dayeuhkolot,2020-04-09,-,108.7,6.77,-,0
Bojongsoang,2020-04-10,3,287.25,3.64,-,0
Dayeuhkolot,2020-04-10,-,97.5,6.47,-,0
Bojongsoang,2020-04-11,1.5,260.48,3.5,-,0
Dayeuhkolot,2020-04-11,0.0,84.8,6.1,-,0
Bojongsoang,2020-04-12,-,244.18,3.41,-,0
Dayeuhkolot,2020-04-12,0.0,66.4,5.49,-,0
Bojongsoang,2020-04-13,-,280.83,3.62,-,0
Dayeuhkolot,2020-04-13,-,67.39,5.56,-,0
Bojongsoang,2020-04-14,-,268.55,3.54,-,0
Dayeuhkolot,2020-04-14,-,62.92,5.4,-,0
Bojongsoang,2020-04-15,1,221.5,3.28,-,0
Dayeuhkolot,2020-04-15,-,56.94,5.18,-,0
Bojongsoang,2020-04-16,0,191.78,03.09,-,0
Dayeuhkolot,2020-04-16,12.0,62.27,5.41,-,0
Bojongsoang,2020-04-17,33,199.13,3.14,-,0
Dayeuhkolot,2020-04-17,-,53.22,5.03,-,0
Bojongsoang,2020-04-18,16.5,268.81,3.54,-,0
Dayeuhkolot,2020-04-18,27.0,75.87,5.93,-,0
Bojongsoang,2020-04-19,12.5,186.46,03.06,-,0
Dayeuhkolot,2020-04-19,2.0,53.98,5.06,-,0
Bojongsoang,2020-04-20,4,204.5,3.16,-,0
Dayeuhkolot,2020-04-20,2.0,50.8,5,-,0
Bojongsoang,2020-04-21,15,431.81,4.3,-,0
Dayeuhkolot,2020-04-21,19.0,63.4,5.52,-,0
Bojongsoang,2020-04-22,0,266.35,3.52,-,0
Dayeuhkolot,2020-04-22,15.5,58.74,5.31,-,0
Bojongsoang,2020-04-23,-,234.04,3.35,-,0
Dayeuhkolot,2020-04-23,-,50.69,5.04,-,0
Bojongsoang,2020-04-24,-,178.97,3,-,0
Dayeuhkolot,2020-04-24,-,42.49,4.66,-,0
Bojongsoang,2020-04-25,-,168.61,2.94,-,0
Dayeuhkolot,2020-04-25,-,44.86,4.79,-,0
Bojongsoang,2020-04-26,-,155.61,2.84,-,0
Dayeuhkolot,2020-04-26,-,36.72,4.4,-,0
Bojongsoang,2020-04-27,15.5,151.1,2.81,-,0
Dayeuhkolot,2020-04-27,-,37.2,4.44,-,0
Bojongsoang,2020-04-28,65,171.19,2.96,-,0
Dayeuhkolot,2020-04-28,12.0,55.45,5.31,-,0
Bojongsoang,2020-04-29,56,175.43,2.99,-,0
Dayeuhkolot,2020-04-29,3.5,50.67,5.1,-,0
Bojongsoang,2020-04-30,65.5,244.23,3.42,-,0
Dayeuhkolot,2020-04-30,41.0,76.85,6.14,-,0
Dayeuhkolot,2020-05-01,81.5,63.37,5.64,0.5,1
Cipanas - Margamukti,2020-05-02,-,"10,57","1,02",-,0
Dayeuhkolot,2020-05-02,62.5,96.89,6.78,-,0
Cipanas - Margamukti,2020-05-03,1,"9,24","0,97",-,0
Dayeuhkolot,2020-05-03,-,57.74,5.42,-,0
Cipanas - Margamukti,2020-05-04,4,"14,18","1,13",-,0
Dayeuhkolot,2020-05-04,24.0,55.51,5.39,-,0
Cipanas - Margamukti,2020-05-05,-,"13,92","1,13",-,0
Dayeuhkolot,2020-05-05,0.0,50.8,5.2,-,0
Cipanas - Margamukti,2020-05-06,12,"10,06","0,99",-,0
Dayeuhkolot,2020-05-06,11.5,42.19,4.81,-,0
Cipanas - Margamukti,2020-05-07,-,"7,98","0,9",-,0
Dayeuhkolot,2020-05-07,-,39.71,4.7,-,0
Cipanas - Margamukti,2020-05-08,-,"6,85","0,84",-,0
Dayeuhkolot,2020-05-08,-,33.05,4.36,-,0
Cipanas - Margamukti,2020-05-09,-,"6,35","0,82",-,0
Dayeuhkolot,2020-05-09,16.0,31.43,4.28,-,0
Cipanas - Margamukti,2020-05-10,25,"7,32","0,87",-,0
Dayeuhkolot,2020-05-10,-,32.98,4.38,-,0
Cipanas - Margamukti,2020-05-11,3,"14,15","1,15",-,0
Dayeuhkolot,2020-05-11,62.5,49.67,5.24,-,0
Cipanas - Margamukti,2020-05-12,24,"63,29","1,79",-,0
Dayeuhkolot,2020-05-12,0.0,47.68,5.17,-,0
Cipanas - Margamukti,2020-05-13,2,"22,34","1,25",-,0
Dayeuhkolot,2020-05-13,3.0,42.91,4.93,-,0
Cipanas - Margamukti,2020-05-14,-,"8,87","0,94",-,0
Dayeuhkolot,2020-05-14,-,31.63,4.36,-,0
Cipanas - Margamukti,2020-05-15,-,"7,68","0,88",-,0
Dayeuhkolot,2020-05-15,-,27.92,4.15,-,0
Cipanas - Margamukti,2020-05-16,-,"7,89","0,89",-,0
Dayeuhkolot,2020-05-16,-,26.4,4.06,-,0
Cipanas - Margamukti,2020-05-17,25,"6,34","0,81",-,0
Dayeuhkolot,2020-05-17,-,27.97,4.18,-,0
Cipanas - Margamukti,2020-05-18,26,"76,78","1,86",-,0
Dayeuhkolot,2020-05-18,16.5,31.97,4.43,-,0
Cipanas - Margamukti,2020-05-19,3,"27,64","1,32",-,0
Dayeuhkolot,2020-05-19,10.5,48.38,5.3,-,0
Cipanas - Margamukti,2020-05-20,20,"8,92","0,93",-,0
Dayeuhkolot,2020-05-20,3.5,45.63,5.16,-,0
Cipanas - Margamukti,2020-05-21,-,"9,61","0,97",-,0
Dayeuhkolot,2020-05-21,16.5,40.33,4.92,-,0
Cipanas - Margamukti,2020-05-22,-,"8,46","0,91",-,0
Dayeuhkolot,2020-05-22,-,31.58,4.47,-,0
Cipanas - Margamukti,2020-05-23,-,"6,76","0,83",-,0
Dayeuhkolot,2020-05-23,-,27.67,4.24,-,0
Cipanas - Margamukti,2020-05-24,-,"6,83","0,83",-,0
Dayeuhkolot,2020-05-24,-,26.93,4.21,-,0
Cipanas - Margamukti,2020-05-25,8,"5,6","0,76",-,0
Dayeuhkolot,2020-05-25,-,39.25,4.95,-,0
Cipanas - Margamukti,2020-05-26,10,"6,23","0,79",-,0
Dayeuhkolot,2020-05-26,-,37.1,4.84,-,0
Cipanas - Margamukti,2020-05-27,9,"5,38","0,74",-,0
Dayeuhkolot,2020-05-27,-,36.32,4.81,-,0
Cipanas - Margamukti,2020-05-28,-,"5,49","0,75",-,0
Dayeuhkolot,2020-05-28,0.0,37.65,4.9,-,0
Cipanas - Margamukti,2020-05-29,19,"8,73","0,9",-,0
Dayeuhkolot,2020-05-29,-,36.56,4.82,-,0
Cipanas - Margamukti,2020-05-30,6,"0,28","0,08",-,0
Dayeuhkolot,2020-05-30,81.5,42.39,5.15,-,0
Cipanas - Margamukti,2020-05-31,4,"0,55","0,1",-,0
