Kecamatan,Tanggal,Curah Hujan,Debit Air,Muka Air,Tinggi Banjir,Banjir Ya/Tidak
Dayeuhkolot,2021-11-01,65.5,63.81,4.82,-,0
Dayeuhkolot,2021-11-02,35.5,70.41,5.03,0.9,1
Kertasari,2021-11-03,3,6.59,7.59,-,0
Dayeuhkolot,2021-11-03,18,102.78,6.15,-,0
Kertasari,2021-11-04,3,05.01,7.21,-,0
Dayeuhkolot,2021-11-04,21,73.38,5.14,-,0
Kertasari,2021-11-05,-,4.55,7.99,-,0
Dayeuhkolot,2021-11-05,14.5,78.97,5.34,-,0
Kertasari,2021-11-06,15,4.31,0.10,0.2,1
Dayeuhkolot,2021-11-06,3.5,55.59,4.43,0.2,1
Kertasari,2021-11-07,-,4.39,9.44,-,0
Dayeuhkolot,2021-11-07,9,57.28,4.51,-,0
Kertasari,2021-11-08,-,4.47,9.41,-,0
Dayeuhkolot,2021-11-08,3,67.91,4.93,-,0
Kertasari,2021-11-09,-,3.68,7.8,1.2,1
Dayeuhkolot,2021-11-09,46.5,58.07,4.52,1.2,1
Solokanjeruk,2021-11-10,31.1,7.59,1.85,0.2,1
Dayeuhkolot,2021-11-10,4.5,94.57,5.86,0.2,1
Cisanti,2021-11-11,4.5,5.1,0.24,0.7,1
Dayeuhkolot,2021-11-11,0,75.3,5.15,0.7,1
Dayeuhkolot,2021-11-12,31,62.46,4.64,0.3,1
Cisanti,2021-11-13,15,7.88,0.19,-,0
Dayeuhkolot,2021-11-13,9,74.25,5.13,-,0
Cisanti,2021-11-14,23,09.07,0.20,-,0
Dayeuhkolot,2021-11-14,23,86.78,5.57,-,0
Rancaekek,2021-11-15,8,3.84,2.54,0.7,1
Dayeuhkolot,2021-11-15,3.5,90.16,5.68,0.7,1
Cisanti,2021-11-16,23.5,12.49,0.14,-,0
Dayeuhkolot,2021-11-16,0,83.26,5.43,-,0
Rancaekek,2021-11-17,3,7.31,2.73,0.4,1
Dayeuhkolot,2021-11-17,0,71.58,5.02,0.4,1
Cisanti,2021-11-18,4.5,07.03,0.10,-,0
Dayeuhkolot,2021-11-18,0,74.02,5.11,-,0
Dayeuhkolot,2021-11-19,27,84.06,5.44,0.6,1
Cisanti,2021-11-20,1,8.84,0.11,-,0
Dayeuhkolot,2021-11-20,-,89.12,5.59,-,0
Cisanti,2021-11-21,-,5.81,0.12,-,0
Dayeuhkolot,2021-11-21,-,67.73,4.84,-,0
Kertasari,2021-11-22,11,6.75,0.12,0.4,1
Dayeuhkolot,2021-11-22,-,55.27,4.33,0.4,1
Cisanti,2021-11-23,1,5.43,0.15,-,0
Dayeuhkolot,2021-11-23,-,51.92,4.19,-,0
Cisanti,2021-11-24,4,6,0.14,-,0
Dayeuhkolot,2021-11-24,4,49.83,4.08,-,0
Dayeuhkolot,2021-11-25,83,64.87,4.73,0.8,1
Cisanti,2021-11-26,4,05.07,0.11,-,0
Dayeuhkolot,2021-11-26,0,90.78,5.65,-,0
Cileunyi,2021-11-27,1.2,7.75,2.43,0.5,1
Dayeuhkolot,2021-11-27,56.5,89.53,5.58,0.5,1
Cisanti,2021-11-28,1,9.4,0.10,-,0
Dayeuhkolot,2021-11-28,0,118.28,6.44,-,0
Cisanti,2021-11-29,-,5.93,0.11,-,0
Dayeuhkolot,2021-11-29,50,89.88,5.57,-,0
Cisanti,2021-11-30,27.5,4.79,0.13,-,0
Dayeuhkolot,2021-11-30,14.5,73.72,4.99,-,0
Rancaekek,2021-12-01,10,7.0,2.52,0.5,1
Dayeuhkolot,2021-12-01,0,90.54,5.6,0.5,1
Nagreg,2021-12-02,42.5,8.25,2.87,-,0
Dayeuhkolot,2021-12-02,3,89.09,5.55,-,0
Cisanti,2021-12-03,3,8.52,0.11,-,0
Dayeuhkolot,2021-12-03,3.5,86.4,5.45,-,0
Cisanti,2021-12-04,1,5.33,0.1,-,0
Dayeuhkolot,2021-12-04,0,78.55,5.18,-,0
Cisanti,2021-12-05,-,4.98,0.1,-,0
Dayeuhkolot,2021-12-05,-,72.08,4.93,-,0
Cisanti,2021-12-06,12.5,4.0,0.12,-,0
Dayeuhkolot,2021-12-06,7.5,61.33,4.51,-,0
Cisanti,2021-12-07,4,4.2,0.14,-,0
Dayeuhkolot,2021-12-07,-,61.55,4.52,-,0
Cisanti,2021-12-08,7,4.16,0.11,-,0
Dayeuhkolot,2021-12-08,-,56.41,4.3,-,0
Cisanti,2021-12-09,16,3.95,0.1,-,0
Dayeuhkolot,2021-12-09,-,51.5,4.08,-,0
Cileunyi,2021-12-10,32.5,6.75,1.8,1.1,1
Dayeuhkolot,2021-12-10,24.5,57.25,4.33,1.1,1
Cisanti,2021-12-11,-,6.56,0.11,-,0
Dayeuhkolot,2021-12-11,8.5,83.78,5.34,-,0
Cisanti,2021-12-12,3,12.42,0.1,-,0
Dayeuhkolot,2021-12-12,7,75.02,5,-,0
Cisanti,2021-12-13,-,8.21,0.12,-,0
Dayeuhkolot,2021-12-13,8,82.81,5.28,-,0
Cisanti,2021-12-14,-,4.45,0.12,-,0
Dayeuhkolot,2021-12-14,-,66.39,4.66,-,0
Cisanti,2021-12-15,-,4.41,0.15,-,0
Dayeuhkolot,2021-12-15,4,65.44,4.64,-,0
Cisanti,2021-12-16,18.5,10.68,0.14,-,0
Dayeuhkolot,2021-12-16,40,70.04,4.81,-,0
Cisanti,2021-12-17,45,10.93,0.12,-,0
Dayeuhkolot,2021-12-17,16,78.36,5.11,-,0
Cisanti,2021-12-18,-,6.83,0.11,-,0
Dayeuhkolot,2021-12-18,1,73.81,4.93,-,0
Cisanti,2021-12-19,13,6.0,0.1,-,0
Dayeuhkolot,2021-12-19,0,63.97,4.57,-,0
Kertasari,2021-12-20,-,6.1,0.1,0.2,1
Dayeuhkolot,2021-12-20,0,67.39,4.7,0.2,1
Cisanti,2021-12-21,20,7.18,0.11,-,0
Dayeuhkolot,2021-12-21,6.5,64.01,4.57,-,0
Cisanti,2021-12-22,27.5,6.32,0.13,-,0
Dayeuhkolot,2021-12-22,38.5,59.55,4.38,-,0
Pangalengan,2021-12-23,25,"52,43","1,07",0.4,1
Dayeuhkolot,2021-12-23,3,96.85,5.74,0.4,1
Rancaekek,2021-12-24,-,7.1,0.11,0.1,1
Dayeuhkolot,2021-12-24,14.5,94.26,5.62,0.1,1
Cisondari,2021-12-25,"24,5","39,01","0,87",-,0
Dayeuhkolot,2021-12-25,2,88.1,5.44,-,0
Cisondari,2021-12-26,1,"40,98","0,9",-,0
